family,stratum,range_low,range_high,n,clusters,season_low,season_high,transport_ok,spearman,kendall,gaussian_rho,p_a,dir_a,p_b,dir_b,empirical_joint,ci_low,ci_high,gaussian_joint,independent,phi
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Over,0.50,Under,0.066859,0.058551,0.075503,0.061123,0.150000,-0.362856
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Under,0.50,Over,0.053240,0.044252,0.062754,0.061123,0.150000,-0.422296
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Under,0.50,Under,0.246801,0.237089,0.255745,0.238877,0.150000,0.422476
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Over,0.70,Over,0.271564,0.264589,0.276384,0.278227,0.210000,0.293163
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Over,0.70,Under,0.121337,0.111252,0.130054,0.125572,0.210000,-0.422204
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Under,0.70,Over,0.118035,0.110357,0.129261,0.125572,0.210000,-0.437926
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Under,0.70,Under,0.288073,0.283587,0.292352,0.278227,0.210000,0.371774
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Over,0.30,Over,0.254230,0.245826,0.261827,0.238877,0.150000,0.454898
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Over,0.30,Under,0.063558,0.055533,0.073654,0.061123,0.150000,-0.377266
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Under,0.30,Over,0.045811,0.038288,0.054259,0.061123,0.150000,-0.454718
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Under,0.30,Under,0.236484,0.226439,0.244426,0.238877,0.150000,0.377446
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Over,0.50,Over,0.357408,0.346593,0.366297,0.354409,0.250000,0.429633
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Over,0.50,Under,0.142385,0.133687,0.153204,0.145591,0.250000,-0.430458
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Under,0.50,Over,0.142385,0.133687,0.153204,0.145591,0.250000,-0.430458
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Under,0.50,Under,0.357821,0.347000,0.366313,0.354409,0.250000,0.431284
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Over,0.70,Over,0.436236,0.426158,0.444250,0.438877,0.350000,0.376365
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Over,0.70,Under,0.245563,0.238173,0.254174,0.261123,0.350000,-0.455799
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Under,0.70,Over,0.263723,0.255789,0.273713,0.261123,0.350000,-0.376545
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.50,Under,0.70,Under,0.454395,0.445741,0.461793,0.438877,0.350000,0.455619
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Over,0.30,Over,0.288073,0.283581,0.292315,0.278227,0.210000,0.371774
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Over,0.30,Under,0.118035,0.110357,0.129261,0.125572,0.210000,-0.437926
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Under,0.30,Over,0.121337,0.111252,0.130054,0.125572,0.210000,-0.422204
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Under,0.30,Under,0.271564,0.264613,0.276386,0.278227,0.210000,0.293163
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Over,0.50,Over,0.446554,0.437246,0.455743,0.438877,0.350000,0.421396
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Over,0.50,Under,0.253405,0.244260,0.262911,0.261123,0.350000,-0.421576
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Under,0.50,Over,0.266612,0.258453,0.275280,0.261123,0.350000,-0.363937
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Under,0.50,Under,0.433347,0.424702,0.441666,0.438877,0.350000,0.363757
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Over,0.70,Over,0.581923,0.570724,0.589795,0.574428,0.490000,0.437730
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Over,0.70,Under,0.411886,0.407737,0.416338,0.421773,0.490000,-0.371971
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Under,0.70,Over,0.428395,0.423453,0.435449,0.421773,0.490000,-0.293359
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.70,Under,0.70,Under,0.578622,0.569892,0.588940,0.574428,0.490000,0.422007
passyds_x_wr1recyds,all,,,5488,527,2010,2025,true,0.431195,0.297742,0.430691,0.30,Over,0.30,Over,0.154155,0.147441,0.159676,0.146432,0.090000,0.305498
